#! FIELDS time full_ene vol pdb_rmsd opes.bias basin
    1.000000  -90676.531250   96.251846	0.402276 0 1
    1.000000  -90443.562500   96.615364	0.517723 0 1
[...]
299999.000000  -105047.312500   85.199646	0.139142 -1975.7 0
299999.000000  -74734.203125  115.789711	0.445804 -2330.77 1
299999.000000  -106601.750000   90.620827	0.129509 -2679.2 0
299999.000000  -78311.968750  116.999718	0.401814 -1831.93 1
299999.000000  -92896.257812   93.028130	0.491532 -2.68495 1
299999.000000  -93381.289062   91.290451	0.59834 -55.0493 1
299999.000000  -111733.585938   78.737251	0.133176 -5107.57 0
299999.000000  -89154.125000   91.420982	0.670636 -193.084 1
299999.000000  -109402.085938   87.587807	0.136791 -3636.72 0
299999.000000  -101881.343750   89.839447	0.129906 -1123.09 0
299999.000000  -113733.640625   82.282425	0.160918 -5738.72 0
299999.000000  -115208.687500   78.724228	0.114015 -6910.36 0
299999.000000  -97249.054688   88.222687	0.444194 -396.426 1
299999.000000  -82201.687500  116.491699	0.513248 -1486.49 1
299999.000000  -118579.867188   80.330170	0.1544 -9014.42 0
299999.000000  -86674.617188   91.437614	0.500749 -463.46 1
299999.000000  -116912.421875   78.206696	0.144051 -8055.65 0
299999.000000  -85992.828125  112.977959	0.485345 -1103.73 1
299999.000000  -118242.078125   86.268730	0.157203 -9058.43 1
299999.000000  -117248.398438   79.601135	0.14827 -8103.45 0
299999.000000  -118141.117188   77.365349	0.181243 -9042.97 0
299999.000000  -76572.632812  107.864906	0.456673 -1723.17 1
299999.000000  -116774.875000   84.025871	0.166329 -7719.51 0
299999.000000  -96445.296875   87.210907	0.533326 -412.714 1
299999.000000  -114696.085938   81.514503	0.199903 -6329.55 0
299999.000000  -109611.531250   81.695236	0.167622 -3780.67 0
299999.000000  -87676.968750   92.423721	0.46702 -261.154 1
299999.000000  -113545.820312   80.782669	0.13558 -5721.46 0
299999.000000  -118775.757812   85.055122	0.136556 -9344.27 0
299999.000000  -97125.679688   91.581726	0.4372 -304.12 1
299999.000000  -97533.421875   85.879417	0.736915 -611.212 1
299999.000000  -79130.906250  102.420258	0.575813 -1202.67 1
299999.000000  -91226.140625   97.889549	0.491006 -29.3532 1
299999.000000  -111785.015625   84.033081	0.167926 -4664.96 0
299999.000000  -72011.882812  106.294708	0.711134 -2958.91 1
299999.000000  -106212.492188   85.708534	0.851392 -2320.3 1
299999.000000  -108572.937500   80.855843	0.54819 -3487.71 1
299999.000000  -115516.351562   84.874092	0.131045 -6902.26 0
299999.000000  -94551.218750   89.186569	0.555611 -186.447 1
299999.000000  -104374.773438   92.946526	0.148605 -2079.42 0
300000.000000  -105900.531250   84.185371	0.155827 -2278.85 0
300000.000000  -74090.554688  121.183075	0.413961 -2753.55 1
300000.000000  -106379.304688   91.509575	0.139866 -2681.4 0
300000.000000  -80205.898438  115.379997	0.446615 -1511.57 1
300000.000000  -89660.125000   91.720123	0.496127 -132.951 1
300000.000000  -93768.085938   87.825745	0.592777 -292.722 1
300000.000000  -110628.960938   78.876633	0.135729 -4607.44 0
300000.000000  -89886.328125   91.182991	0.622494 -154.597 1
300000.000000  -109160.789062   88.001381	0.121905 -3554.99 0
300000.000000  -102630.742188   89.184944	0.137379 -1291.81 0
300000.000000  -114475.210938   83.706963	0.140112 -6174.79 0
300000.000000  -115490.906250   77.012627	0.118899 -7411.29 0
300000.000000  -98817.117188   86.323975	0.434776 -683.873 1
300000.000000  -82657.445312  115.015686	0.510113 -1327.21 1
300000.000000  -116886.484375   81.025963	0.157415 -7759.26 0
300000.000000  -89188.750000   90.545708	0.511485 -262.482 1
300000.000000  -118534.382812   78.518333	0.146654 -9141.4 0
300000.000000  -83966.476562  112.565453	0.47777 -1058.13 1
300000.000000  -117132.062500   85.634895	0.161446 -8121.5 1
300000.000000  -117723.578125   78.071777	0.170715 -8626.19 0
300000.000000  -117788.140625   79.179146	0.167238 -8523.45 0
300000.000000  -77048.054688  104.177498	0.498337 -1630.63 1
300000.000000  -115676.882812   81.156631	0.145686 -6952.37 0
300000.000000  -98221.562500   85.741051	0.546757 -680.116 1
300000.000000  -114301.078125   81.108223	0.181097 -6120.09 0
300000.000000  -109863.945312   80.237808	0.167646 -4062.59 0
300000.000000  -88913.281250   91.523537	0.466206 -206.098 1
300000.000000  -112624.695312   80.164749	0.147759 -5305.76 0
300000.000000  -119092.843750   84.877487	0.129823 -9585.29 0
300000.000000  -97623.992188   89.881393	0.385829 -372.101 1
300000.000000  -98779.054688   84.608551	0.726305 -861.634 1
300000.000000  -77313.226562  101.717743	0.572287 -1635.5 1
300000.000000  -93632.359375   96.427994	0.517205 -93.7757 1
300000.000000  -112420.203125   82.833824	0.157463 -5006.95 0
300000.000000  -72285.171875  106.420326	0.705824 -2869.9 1
300000.000000  -105849.554688   83.454460	0.823651 -2317.08 1
300000.000000  -108792.062500   81.456741	0.541578 -3489.49 1
300000.000000  -115213.273438   87.039963	0.123816 -6910.18 0
300000.000000  -93880.031250   89.657806	0.531195 -143.429 1
300000.000000  -103173.796875   93.683540	0.127403 -1752.9 0
