# lambda av_DeltaU
   0.000000000 15993.295813280
   0.001001001 15980.617779666
   0.002002002 15967.920015504
   0.003003003 15955.204057044
   0.004004004 15942.471808302
   0.005005005 15929.725513348
   0.006006006 15916.967721142
   0.007007007 15904.201244072
   0.008008008 15891.429111452
   0.009009009 15878.654519213
   0.010010010 15865.880777018
   0.011011011 15853.111254023
   0.012012012 15840.349324413
   0.013013013 15827.598313799
   0.014014014 15814.861447457
   0.015015015 15802.141801295
   0.016016016 15789.442256327
   0.017017017 15776.765457329
   0.018018018 15764.113776236
   0.019019019 15751.489280729
   0.020020020 15738.893708368
   0.021021021 15726.328446512
   0.022022022 15713.794518198
   0.023023023 15701.292574042
   0.024024024 15688.822890147
   0.025025025 15676.385371944
   0.026026026 15663.979563804
   0.027027027 15651.604664190
   0.028028028 15639.259546051
   0.029029029 15626.942782122
   0.030030030 15614.652674670
   0.031031031 15602.387289248
   0.032032032 15590.144491869
   0.033033033 15577.921989042
   0.034034034 15565.717369991
   0.035035035 15553.528150381
   0.036036036 15541.351816808
   0.037037037 15529.185871297
   0.038038038 15517.027875031
   0.039039039 15504.875490529
   0.040040040 15492.726521511
   0.041041041 15480.578949701
   0.042042042 15468.430967891
   0.043043043 15456.281008615
   0.044044044 15444.127767907
   0.045045045 15431.970223678
   0.046046046 15419.807648375
   0.047047047 15407.639615715
   0.048048048 15395.466001401
   0.049049049 15383.286977894
   0.050050050 15371.103003420
   0.051051051 15358.914805569
   0.052052052 15346.723359926
   0.053053053 15334.529864336
   0.054054054 15322.335709457
   0.055055055 15310.142446384
   0.056056056 15297.951752125
   0.057057057 15285.765393800
   0.058058058 15273.585192376
   0.059059059 15261.412986789
   0.060060060 15249.250599195
   0.061061061 15237.099802084
   0.062062062 15224.962287849
   0.063063063 15212.839641333
   0.064064064 15200.733315752
   0.065065065 15188.644612277
   0.066066066 15176.574663429
   0.067067067 15164.524420352
   0.068068068 15152.494643883
   0.069069069 15140.485899290
   0.070070070 15128.498554431
   0.071071071 15116.532781049
   0.072072072 15104.588558860
   0.073073073 15092.665682070
   0.074074074 15080.763767952
   0.075075075 15068.882267098
   0.076076076 15057.020475017
   0.077077077 15045.177544743
   0.078078078 15033.352500190
   0.079079079 15021.544250012
   0.080080080 15009.751601781
   0.081081081 14997.973276355
   0.082082082 14986.207922337
   0.083083083 14974.454130561
   0.084084084 14962.710448607
   0.085085085 14950.975395307
   0.086086086 14939.247475290
   0.087087087 14927.525193548
   0.088088088 14915.807070054
   0.089089089 14904.091654398
   0.090090090 14892.377540426
   0.091091091 14880.663380799
   0.092092092 14868.947901386
   0.093093093 14857.229915339
   0.094094094 14845.508336690
   0.095095095 14833.782193263
   0.096096096 14822.050638674
   0.097097097 14810.312963164
   0.098098098 14798.568603029
   0.099099099 14786.817148383
   0.100100100 14775.058349037
   0.101101101 14763.292118278
   0.102102102 14751.518534409
   0.103103103 14739.737839928
   0.104104104 14727.950438314
   0.105105105 14716.156888444
   0.106106106 14704.357896747
   0.107107107 14692.554307254
   0.108108108 14680.747089808
   0.109109109 14668.937326726
   0.110110110 14657.126198283
   0.111111111 14645.314967402
   0.112112112 14633.504963988
   0.113113113 14621.697569322
   0.114114114 14609.894200923
   0.115115115 14598.096298260
   0.116116116 14586.305309647
   0.117117117 14574.522680566
   0.118118118 14562.749843610
   0.119119119 14550.988210131
   0.120120120 14539.239163595
   0.121121121 14527.504054542
   0.122122122 14515.784196971
   0.123123123 14504.080865882
   0.124124124 14492.395295648
   0.125125125 14480.728678833
   0.126126126 14469.082165055
   0.127127127 14457.456859483
   0.128128128 14445.853820561
   0.129129129 14434.274056630
   0.130130130 14422.718521135
   0.131131131 14411.188106220
   0.132132132 14399.683634593
   0.133133133 14388.205849666
   0.134134134 14376.755404058
   0.135135135 14365.332846714
   0.136136136 14353.938608945
