# temp  Neff/N
3.000000000000000000e+02 3.269157743310693864e-01
3.023411371237457956e+02 3.391272853700283418e-01
3.046822742474916481e+02 3.513382433035047714e-01
3.070234113712374437e+02 3.635277437140207457e-01
3.093645484949832962e+02 3.756752309058706274e-01
3.117056856187290919e+02 3.877605911007129258e-01
3.140468227424749443e+02 3.997642392529500155e-01
3.163879598662207400e+02 4.116671989526095587e-01
3.187290969899665356e+02 4.234511750003794872e-01
3.210702341137123881e+02 4.350986183549445108e-01
3.234113712374581837e+02 4.465927832647766382e-01
3.257525083612040362e+02 4.579177765029684988e-01
3.280936454849498318e+02 4.690585987230906362e-01
3.304347826086956275e+02 4.800011780450210153e-01
3.327759197324414799e+02 4.907323960613292346e-01
3.351170568561872756e+02 5.012401065263922817e-01
3.374581939799331280e+02 5.115131470517089163e-01
3.397993311036789237e+02 5.215413441817077222e-01
3.421404682274247762e+02 5.313155122649566575e-01
3.444816053511705718e+02 5.408274465664376640e-01
3.468227424749163674e+02 5.500699110880349352e-01
3.491638795986622199e+02 5.590366215772878400e-01
3.515050167224080155e+02 5.677222242096120475e-01
3.538461538461538680e+02 5.761222704274434614e-01
3.561872909698996637e+02 5.842331884120322005e-01
3.585284280936455161e+02 5.920522516508055499e-01
3.608695652173913118e+02 5.995775450462059730e-01
3.632107023411371074e+02 6.068079289915819796e-01
3.655518394648829599e+02 6.137430018167515655e-01
3.678929765886287555e+02 6.203830609811172847e-01
3.702341137123746080e+02 6.267290633662012667e-01
3.725752508361204036e+02 6.327825849928204738e-01
3.749163879598662561e+02 6.385457804612938437e-01
3.772575250836120517e+02 6.440213423864248332e-01
3.795986622073578474e+02 6.492124610729429479e-01
3.819397993311036998e+02 6.541227846517593258e-01
3.842809364548494955e+02 6.587563798730717846e-01
3.866220735785952911e+02 6.631176937291766160e-01
3.889632107023411436e+02 6.672115160578351301e-01
3.913043478260869961e+02 6.710429432563531638e-01
3.936454849498327917e+02 6.746173432171097550e-01
3.959866220735785873e+02 6.779403215771636626e-01
3.983277591973244398e+02 6.810176893577365442e-01
4.006688963210702354e+02 6.838554320537800768e-01
4.030100334448160311e+02 6.864596802194834479e-01
4.053511705685618836e+02 6.888366815823425693e-01
4.076923076923077360e+02 6.909927747063364656e-01
4.100334448160535317e+02 6.929343642137095749e-01
4.123745819397993273e+02 6.946678975648380439e-01
4.147157190635451798e+02 6.961998433865923541e-01
4.170568561872909754e+02 6.975366713314561373e-01
4.193979933110367710e+02 6.986848334423786389e-01
4.217391304347826235e+02 6.996507469918707978e-01
4.240802675585284192e+02 7.004407787581786726e-01
4.264214046822742716e+02 7.010612306964166818e-01
4.287625418060200673e+02 7.015183269583058490e-01
4.311036789297659197e+02 7.018182022105732276e-01
4.334448160535117154e+02 7.019668911991304716e-01
4.357859531772575110e+02 7.019703195037434451e-01
4.381270903010033635e+02 7.018342954261266309e-01
4.404682274247492160e+02 7.015645029530557242e-01
